MovieID,Title,Genres,overview,genres,release_date,poster_path,matched_title,match_score
8,Tom and Huck (1995),Adventure|Children's,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-12-22,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,tom and huck,100
9,Sudden Death (1995),Action,"International action superstar Jean Claude Van Damme teams with Powers Boothe in a Tension-packed, suspense thriller, set against the back-drop of a Stanley Cup game.Van Damme portrays a father whose daughter is suddenly taken during a championship hockey game. With the captors demanding a billion dollars by game's end, Van Damme frantically sets a plan in motion to rescue his daughter and abort an impending explosion before the final buzzer...","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1995-12-22,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,sudden death,100
10,GoldenEye (1995),Action|Adventure|Thriller,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",1995-11-16,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,goldeneye,100
11,"American President, The (1995)",Comedy|Drama|Romance,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-11-17,/lymPNGLZgPHuqM29rKMGV46ANij.jpg,the american president,100
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.","[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",1995-12-22,/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg,dracula: dead and loving it,100
13,Balto (1995),Animation|Children's,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.","[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}]",1995-12-22,/gV5PCAVCPNxlOLFM1bKk50EqLXO.jpg,balto,100
14,Nixon (1995),Drama,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",1995-12-22,/cICkmCEiXRhvZmbuAlsA5D9B2rK.jpg,nixon,100
15,Cutthroat Island (1995),Action|Adventure|Romance,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",1995-12-22,/odM9973kIv9hcjfHPp6g6BlyTIJ.jpg,cutthroat island,100
16,Casino (1995),Drama|Thriller,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-11-22,/xo517ibXBDdYQY81j0WIG7BVcWq.jpg,casino,100
17,Sense and Sensibility (1995),Drama|Romance,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-12-13,/lA9HTy84Bb6ZwNeyoZKobcMdpMc.jpg,sense and sensibility,100
17,Sense and Sensibility (1995),Drama|Romance,"This is the acclaimed 2008 BBC adaptation of the famous Jane Austen novel. While it originally aired as a 3-part miniseries, this home video release includes a single uninterrupted version of the entire film.","[{'id': 18, 'name': 'Drama'}]",2008-01-01,/5EqkvQ3zqDrtUOh2mIkfJQCzVus.jpg,sense and sensibility,100
17,Sense and Sensibility (1995),Drama|Romance,Two sisters of opposing temperaments find love and some heartbreak in Jane Austen's 18th century classic.,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",1981-02-01,/fEccyYHNJoeFhTRuwTgDXeaPQjE.jpg,sense and sensibility,100
17,Sense and Sensibility (1995),Drama|Romance,Adaptation of the Jane Austen novel.,[],1971-01-01,/4yVfjXS6hQCcuawCLGxvMMCLk0f.jpg,sense and sensibility,100
18,Four Rooms (1995),Thriller,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}]",1995-12-09,/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,four rooms,100
19,Ace Ventura: When Nature Calls (1995),Comedy,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}]",1995-11-10,/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,ace ventura: when nature calls,100
20,Money Train (1995),Action,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",1995-11-21,/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,money train,100
21,Get Shorty (1995),Action|Comedy|Drama,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","[{'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",1995-10-20,/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,get shorty,100
22,Copycat (1995),Crime|Drama|Thriller,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",1995-10-27,/80czeJGSoik22fhtUM9WzyjUU4r.jpg,copycat,100
23,Assassins (1995),Thriller,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1995-10-06,/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,assassins,100
24,Powder (1995),Drama|Sci-Fi,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",1995-10-27,/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,powder,100
25,Leaving Las Vegas (1995),Drama|Romance,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-10-27,/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,leaving las vegas,100
26,Othello (1995),Drama,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,"[{'id': 18, 'name': 'Drama'}]",1995-12-15,/qM0BXEQjmnAzlkDZ0tYmV6twqMX.jpg,othello,100
26,Othello (1995),Drama,"Desdemona, daughter of a Venetian aristocrat, elopes with Moorish military hero Othello, to the great resentment of Othello's envious underling Iago. Alas, Iago knows Othello's weakness, and with chilling malice works on him with but too good effect...","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1951-11-27,/61A7EJqfMsrQO0YWsUWq8gbgbu0.jpg,othello,100
26,Othello (1995),Drama,The 1965 version of the Shakespeare play.,"[{'id': 18, 'name': 'Drama'}]",1965-12-15,/1sPhQv9j9ac7Zz8TaR4aZO9no2h.jpg,othello,100
26,Othello (1995),Drama,"Iago and a comrade-in-arms are outside the Venice home of Desdemona's father, who does not yet know that she has eloped with Othello. Iago confides to his friend -- who had hoped to marry Desdemona -- that he serves Othello to further his own ends. Venice needs Othello to protect its commercial interests in Cyprus where the Turkish fleet is headed. Desdemona insists on going to Cyprus, too. In Cyprus, Iago plots to convince Othello that Desdemona has betrayed him with Cassio. A lot more than political ambition seems to be motivating Iago.",[],1981-10-04,/89CMfdXmPAQEZJQRv0aGV77YQXa.jpg,othello,100
27,Now and Then (1995),Drama,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-10-20,/wD6rLdD2Ix3u9YLgE3Do8GyCHoz.jpg,now and then,100
28,Persuasion (1995),Romance,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-09-27,/si8911IezMvAnQFDvyg1nKzDlD.jpg,persuasion,100
28,Persuasion (1995),Romance,Persuasion is the newest adaptation of the classic Jane Austen novel of the same name published in 1818.Anne (Sally Hawkins) fell deeply in love with handsome young naval officer Frederick Wentworth (Rupert Penry-Jones) at the age of nineteen.,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",2007-04-01,/yuNvkLBq1jwQztpolLWbenvzNVQ.jpg,persuasion,100
28,Persuasion (1995),Romance,Adaptation of the Jane Austen novel.,[],1971-01-01,/aeJLz6OaQIRfr5roacf9WG3CTFd.jpg,persuasion,100
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.","[{'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1995-05-16,/eVo6ewq4akfyJYy3GXkMsLNzEJc.jpg,the city of lost children,100
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,,,,,,0
31,Dangerous Minds (1995),Drama,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",1995-08-11,/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,dangerous minds,100
32,Twelve Monkeys (1995),Drama|Sci-Fi,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.","[{'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",1995-12-29,/6Sj9wDu3YugthXsU0Vry5XFAZGg.jpg,twelve monkeys,100
33,Wings of Courage (1995),Adventure|Romance,,,,,,0
34,Babe (1995),Children's|Comedy|Drama,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",1995-07-18,/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,babe,100
35,Carrington (1995),Drama|Romance,"The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge, Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's lifestyle and sexual orientation as with the fact that he was a conscientious objector.","[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-11-08,/a7w6rPdTBgWAx6lnhwHemPx9pEw.jpg,carrington,100
36,Dead Man Walking (1995),Drama,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,"[{'id': 18, 'name': 'Drama'}]",1995-12-29,/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,dead man walking,100
37,Across the Sea of Time (1995),Documentary,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.","[{'id': 12, 'name': 'Adventure'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-10-20,/lKOAyy098yjoot8cutYsStVO1WS.jpg,across the sea of time,100
38,It Takes Two (1995),Comedy,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.","[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]",1995-11-17,/l67WJL3Mjce1yoEgL4HheR5v75D.jpg,it takes two,100
38,It Takes Two (1995),Comedy,"Travis is due to marry Stephanie in a few days when he is convinced by beautiful saleswoman Jonni to buy a fancy sports car. The car looks good, but it turns out to be a piece of junk. Travis is determined to get satisfaction and he and Jonni hit the road to confront the crooked car dealer.","[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",1988-07-13,/d0i4Jt3PBbEF06WVJB1Jedty0If.jpg,it takes two,100
39,Clueless (1995),Comedy|Romance,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-07-19,/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,clueless,100
40,"Cry, the Beloved Country (1995)",Drama,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,"[{'id': 18, 'name': 'Drama'}]",1995-12-15,/ymA7HQqRiyo1xrnFFv1ZrwNpwlb.jpg,"cry, the beloved country",100
40,"Cry, the Beloved Country (1995)",Drama,"In the back country of South Africa, black minister Stephen Kumalo (Canada Lee) journeys to the city to search for his missing son, only to find his people living in squalor and his son a criminal. Reverend Misimangu (Sidney Poitier) is a young South African clergyman who helps find his missing son-turned-thief and sister-turned-prostitute in the slums of Johannesburg.","[{'id': 18, 'name': 'Drama'}]",1952-04-26,/aqHHnoYvOyL3069UWQV2q35TdWj.jpg,"cry, the beloved country",100
41,Richard III (1995),Drama|War,Shakespeare's Play transplanted into a 1930s setting.,"[{'id': 18, 'name': 'Drama'}, {'id': 10752, 'name': 'War'}]",1995-12-29,/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,richard iii,100
41,Richard III (1995),Drama|War,"Shakespeare's powerful tale of the wicked deformed king and his conquests, both on the battlefield and in the boudoir.","[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1955-12-13,/3zp2Kg5bvlFkKmWiQLmuWQAIEgG.jpg,richard iii,100
41,Richard III (1995),Drama|War,"Shakespeare's tragedy of the hump-backed Duke of Gloucester, who rises to the throne of England by chicanery, treachery, and brilliance, only to find that his own methods have prepared the groundwork for his downfall.","[{'id': 18, 'name': 'Drama'}]",1912-10-15,/zM9IT7IeUJ2pY42vx8OhUgklVMu.jpg,richard iii,100
42,Dead Presidents (1995),Action|Crime|Drama,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.","[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",1995-10-06,/2dLyvXVvJXUR9otoqERkYpao1bB.jpg,dead presidents,100
43,Restoration (1995),Drama,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-12-29,/aqQdEQ1ZVdzrREJxCoPzTlLgHVw.jpg,restoration,100
43,Restoration (1995),Drama,"During home renovations, a young couple release a fiery spirit seeking retribution. To save themselves and set the spirit free, they must uncover the dire truth. But nothing is as simple as it seems...","[{'id': 27, 'name': 'Horror'}]",2016-05-03,/m1OS6cQHMPJ1U8VC8UyT38CtvK0.jpg,restoration,100
44,Mortal Kombat (1995),Action|Adventure,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","[{'id': 28, 'name': 'Action'}, {'id': 14, 'name': 'Fantasy'}]",1995-08-18,/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,mortal kombat,100
45,To Die For (1995),Comedy|Drama,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.","[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",1995-05-20,/zCREx8trzejNieDLUsRuwLU0cS3.jpg,to die for,100
46,How to Make an American Quilt (1995),Drama|Romance,"Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-10-06,/wnWAZHbjX5Wj6hyb0gGmFdMADZk.jpg,how to make an american quilt,100
47,Seven (Se7en) (1995),Crime|Thriller,,,,,,0
48,Pocahontas (1995),Animation|Children's|Musical|Romance,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",1995-06-14,/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,pocahontas,100
49,When Night Is Falling (1995),Drama|Romance,"A prudish woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman whom works at a local carnival which comes to town.","[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1995-05-05,/wnUuYc9XnWrTTAGz8YjjULA3Zmr.jpg,when night is falling,100
50,"Usual Suspects, The (1995)",Crime|Thriller,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.","[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",1995-07-19,/jgJoRWltoS17nD5MAQ1yK2Ztefw.jpg,the usual suspects,100
